"OrthoGroup" "Asp"
"OG0000865" "Potra2n16c29878"
"OG0000865" "Potra2n1c1876"
"OG0000865" "Potra2n6c13552"
"OG0000865" "Potra2n9c19964"
"OG0001223" "Potra2n2c5438"
"OG0001233" "Potra2n10c20760"
"OG0001233" "Potra2n1c2195"
"OG0001233" "Potra2n8c17236"
"OG0001233" "Potra2n9c19718"
"OG0001273" "Potra2n12c24454"
"OG0001273" "Potra2n15c28498"
"OG0001326" "Potra2n12c24427"
"OG0001326" "Potra2n15c28453"
"OG0001328" "Potra2n5c11765"
"OG0001328" "Potra2n7c16495"
"OG0001328" "Potra2n9c19033"
"OG0001348" "Potra2n10c21716"
"OG0001348" "Potra2n2c5997"
"OG0001348" "Potra2n5c10942"
"OG0001348" "Potra2n8c18068"
"OG0001361" "Potra2n1c1170"
"OG0001361" "Potra2n3c7645"
"OG0001510" "Potra2n14c27418"
"OG0001510" "Potra2n2c4539"
"OG0001777" "Potra2n10c20683"
"OG0001777" "Potra2n10c20684"
"OG0001777" "Potra2n16c30218"
"OG0001777" "Potra2n16c30219"
"OG0001777" "Potra2n16c30221"
"OG0001777" "Potra2n6c14532"
"OG0001777" "Potra2n8c17169"
"OG0001777" "Potra2n8c17170"
"OG0001853" "Potra2n13c25598"
"OG0001853" "Potra2n771s36725"
"OG0002079" "Potra2n10c21715"
"OG0002079" "Potra2n13c25964"
"OG0002079" "Potra2n13c25964"
"OG0002079" "Potra2n5c12411"
"OG0002079" "Potra2n8c18060"
"OG0002079" "Potra2n8c18067"
"OG0002247" "Potra2n16c29404"
"OG0002247" "Potra2n6c15200"
"OG0002312" "Potra2n13c25193"
"OG0002312" "Potra2n19c33486"
"OG0002322" "Potra2n12c24702"
"OG0002322" "Potra2n81s34503"
"OG0002448" "Potra2n13c25607"
"OG0002448" "Potra2n19c34014"
"OG0002448" "Potra2n3c7700"
"OG0002499" "Potra2n5c10578"
"OG0002686" "Potra2n2c6220"
"OG0002686" "Potra2n5c10716"
"OG0002885" "Potra2n10c21778"
"OG0002885" "Potra2n13c25919"
"OG0002885" "Potra2n5c12361"
"OG0002885" "Potra2n8c18128"
"OG0003061" "Potra2n127s34652"
"OG0003061" "Potra2n16c29649"
"OG0003061" "Potra2n3c6561"
"OG0003130" "Potra2n2c6267"
"OG0003130" "Potra2n5c10670"
"OG0003310" "Potra2n1c104"
"OG0003310" "Potra2n3c6539"
"OG0003310" "Potra2n6c15022"
"OG0003464" "Potra2n10c20759"
"OG0003464" "Potra2n8c17235"
"OG0003499" "Potra2n6c14268"
"OG0003575" "Potra2n11c23281"
"OG0003575" "Potra2n4c8843"
"OG0003658" "Potra2n1c951"
"OG0003658" "Potra2n3c7419"
"OG0003814" "Potra2n11c22413"
"OG0003814" "Potra2n1c3958"
"OG0003897" "Potra2n1c3112"
"OG0003897" "Potra2n1c3112"
"OG0003897" "Potra2n1c3112"
"OG0004156" "Potra2n14c26489"
"OG0004156" "Potra2n14c26537"
"OG0004156" "Potra2n2c5268"
"OG0004173" "Potra2n10c21975"
"OG0004173" "Potra2n8c18307"
"OG0004285" "Potra2n12c24236"
"OG0004285" "Potra2n12c24270"
"OG0004285" "Potra2n15c28713"
"OG0004285" "Potra2n15c28715"
"OG0004305" "Potra2n13c24989"
"OG0004305" "Potra2n16c30484"
"OG0004305" "Potra2n19c33300"
"OG0004360" "Potra2n6c14665"
"OG0004392" "Potra2n14c26818"
"OG0004392" "Potra2n1c1089"
"OG0004392" "Potra2n1c1384"
"OG0004392" "Potra2n2c5121"
"OG0004392" "Potra2n3c7840"
