"OrthoGroup" "Asp"
"OG0000033" "Potra2n11c23470"
"OG0000033" "Potra2n11c23475"
"OG0000033" "Potra2n11c23482"
"OG0000033" "Potra2n11c23488"
"OG0000033" "Potra2n11c23490"
"OG0000033" "Potra2n1499s37110"
"OG0000033" "Potra2n17c31686"
"OG0000033" "Potra2n17c31687"
"OG0000033" "Potra2n17c31688"
"OG0000033" "Potra2n17c31689"
"OG0000033" "Potra2n17c31691"
"OG0000033" "Potra2n17c31692"
"OG0000033" "Potra2n3c7584"
"OG0000033" "Potra2n4c8619"
"OG0000033" "Potra2n4c8621"
"OG0000033" "Potra2n4c8623"
"OG0000033" "Potra2n4c8624"
"OG0000033" "Potra2n4c8629"
"OG0000033" "Potra2n649s36265"
"OG0000033" "Potra2n7c15618"
"OG0000033" "Potra2n7c15622"
"OG0000033" "Potra2n7c15624"
"OG0000033" "Potra2n8c16711"
"OG0000033" "Potra2n968s36911"
"OG0000160" "Potra2n11c22704"
"OG0000160" "Potra2n11c22705"
"OG0000160" "Potra2n11c22713"
"OG0000160" "Potra2n11c22722"
"OG0000160" "Potra2n11c22725"
"OG0000160" "Potra2n1c3572"
"OG0000160" "Potra2n1c3574"
"OG0000160" "Potra2n1c3577"
"OG0000160" "Potra2n373s35470"
"OG0000160" "Potra2n4c8641"
"OG0000185" "Potra2n10c22208"
"OG0000185" "Potra2n12c24112"
"OG0000185" "Potra2n12c24115"
"OG0000185" "Potra2n14c27443"
"OG0000185" "Potra2n15c28863"
"OG0000185" "Potra2n1c239"
"OG0000185" "Potra2n1c249"
"OG0000185" "Potra2n1c283"
"OG0000185" "Potra2n1c284"
"OG0000185" "Potra2n1c286"
"OG0000185" "Potra2n1c287"
"OG0000185" "Potra2n1c288"
"OG0000185" "Potra2n1c289"
"OG0000185" "Potra2n1c290"
"OG0000185" "Potra2n1c291"
"OG0000185" "Potra2n1c292"
"OG0000185" "Potra2n3c6764"
"OG0000185" "Potra2n3c6765"
"OG0000185" "Potra2n4c10359"
"OG0000185" "Potra2n4c8520"
"OG0000185" "Potra2n4c8524"
"OG0000185" "Potra2n4c8525"
"OG0000185" "Potra2n8c18555"
"OG0000199" "Potra2n10c21503"
"OG0000199" "Potra2n10c21504"
"OG0000199" "Potra2n10c21504"
"OG0000199" "Potra2n10c21807"
"OG0000199" "Potra2n10c21808"
"OG0000199" "Potra2n10c21809"
"OG0000199" "Potra2n11c22474"
"OG0000199" "Potra2n13c25902"
"OG0000199" "Potra2n13c25904"
"OG0000199" "Potra2n17c30762"
"OG0000199" "Potra2n2c6079"
"OG0000199" "Potra2n5c10861"
"OG0000199" "Potra2n8c18157"
"OG0000212" "Potra2n14c26519"
"OG0000212" "Potra2n16c29353"
"OG0000212" "Potra2n16c29355"
"OG0000212" "Potra2n16c29356"
"OG0000212" "Potra2n16c29357"
"OG0000212" "Potra2n16c29372"
"OG0000212" "Potra2n16c29375"
"OG0000212" "Potra2n16c29377"
"OG0000212" "Potra2n16c29378"
"OG0000212" "Potra2n16c29381"
"OG0000212" "Potra2n16c29383"
"OG0000212" "Potra2n16c29385"
"OG0000212" "Potra2n16c29387"
"OG0000212" "Potra2n16c29389"
"OG0000212" "Potra2n6c15302"
"OG0000212" "Potra2n6c15303"
"OG0000212" "Potra2n6c15319"
"OG0000212" "Potra2n6c15320"
"OG0000212" "Potra2n6c15321"
"OG0000212" "Potra2n6c15324"
"OG0000212" "Potra2n6c15326"
"OG0000212" "Potra2n6c15328"
"OG0000212" "Potra2n9c19740"
"OG0000212" "Potra2n9c19741"
"OG0000310" "Potra2n10c20189"
"OG0000310" "Potra2n11c22405"
"OG0000310" "Potra2n11c22405"
"OG0000310" "Potra2n11c22405"
"OG0000310" "Potra2n11c22409"
"OG0000310" "Potra2n2c4523"
"OG0000310" "Potra2n5c12537"
"OG0000393" "Potra2n13c25212"
"OG0000393" "Potra2n14c26607"
"OG0000393" "Potra2n14c26608"
"OG0000393" "Potra2n14c26609"
"OG0000393" "Potra2n14c26610"
"OG0000393" "Potra2n1c2927"
"OG0000393" "Potra2n414s35573"
"OG0000393" "Potra2n440s35676"
"OG0000393" "Potra2n440s35677"
"OG0000393" "Potra2n440s35678"
"OG0000393" "Potra2n4c9412"
"OG0000393" "Potra2n4c9413"
