"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "MaxPVal"
"OG0004156" "Lodge" "Pinsyl_asmbl_58042.p1.p1" "Asp" "Potra2n14c26489" "8.52e-02"
"OG0007678" "Lodge" "Pinsyl_asmbl_29290.p1.p1" "Asp" "Potra2n17c31863" "9.09e-02"
"OG0006721" "Lodge" "Pinsyl_asmbl_42347.p1.p1" "Asp" "Potra2n2c6104" "1.43e-01"
"OG0005159" "Lodge" "Pinsyl_asmbl_85735.p1.p1" "Asp" "Potra2n9c19266" "1.96e-01"
"OG0003042" "Lodge" "Pinsyl_asmbl_49130.p1.p1" "Asp" "Potra2n13c25592" "3.51e-01"
"OG0010317" "Lodge" "Pinsyl_asmbl_20641.p1.p1" "Asp" "Potra2n16c29608" "4.31e-01"
"OG0007653" "Lodge" "Pinsyl_asmbl_129651.p1.p1" "Asp" "Potra2n1c2215" "5.03e-01"
"OG0009321" "Lodge" "Pinsyl_asmbl_16859.p1.p1" "Asp" "Potra2n2c4993" "6.08e-01"
"OG0006959" "Lodge" "Pinsyl_asmbl_55977.p1.p1" "Asp" "Potra2n9c20089" "6.15e-01"
"OG0010665" "Lodge" "Pinsyl_asmbl_58992.p1.p1" "Asp" "Potra2n1c3075" "6.51e-01"
"OG0009750" "Lodge" "Pinsyl_asmbl_116399.p1.p1" "Asp" "Potra2n10c20474" "6.63e-01"
"OG0011527" "Lodge" "Pinsyl_asmbl_21780.p1.p1" "Asp" "Potra2n5c10954" "6.74e-01"
"OG0007574" "Lodge" "Pinsyl_asmbl_57250.p1.p1" "Asp" "Potra2n10c20104" "7.25e-01"
"OG0008069" "Lodge" "Pinsyl_asmbl_60449.p1.p1" "Asp" "Potra2n13c25905" "7.49e-01"
"OG0003061" "Lodge" "Pinsyl_asmbl_104608.p1.p1" "Asp" "Potra2n127s34652" "7.60e-01"
"OG0002306" "Lodge" "Pinsyl_asmbl_112022.p1.p1" "Asp" "Potra2n14c27541" "7.76e-01"
"OG0001770" "Lodge" "Pinsyl_asmbl_36534.p1.p1" "Asp" "Potra2n1c2596" "7.79e-01"
"OG0008077" "Lodge" "Pinsyl_asmbl_13826.p1.p1" "Asp" "Potra2n2c4174" "8.19e-01"
"OG0005808" "Lodge" "Pinsyl_asmbl_90497.p2.p1" "Asp" "Potra2n10c22063" "8.27e-01"
