"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "MaxPVal"
"OG0001717" "Lodge" "Pinsyl_asmbl_105417.p1.p1" "Asp" "Potra2n7c16228" "1.01e-50"
"OG0003959" "Lodge" "Pinsyl_asmbl_85931.p1.p1" "Asp" "Potra2n17c31726" "4.72e-48"
"OG0006428" "Lodge" "Pinsyl_asmbl_81421.p1.p1" "Asp" "Potra2n2c4777" "7.33e-48"
"OG0002267" "Lodge" "Pinsyl_asmbl_24617.p1.p1" "Asp" "Potra2n16c30228" "3.28e-47"
"OG0002405" "Lodge" "Pinsyl_asmbl_96456.p1.p1" "Asp" "Potra2n10c21110" "1.58e-46"
"OG0001572" "Lodge" "Pinsyl_asmbl_102761.p1.p1" "Asp" "Potra2n16c30315" "2.00e-44"
"OG0001994" "Lodge" "Pinsyl_asmbl_109903.p1.p1" "Asp" "Potra2n4c9802" "4.70e-44"
"OG0003082" "Lodge" "Pinsyl_asmbl_112770.p1.p1" "Asp" "Potra2n13c25522" "1.44e-43"
"OG0009007" "Lodge" "Pinsyl_asmbl_113552.p1.p1" "Asp" "Potra2n1c2841" "1.32e-42"
"OG0006522" "Lodge" "Pinsyl_asmbl_13932.p1.p1" "Asp" "Potra2n3c7534" "1.71e-41"
"OG0002504" "Lodge" "Pinsyl_asmbl_136729.p1.p1" "Asp" "Potra2n10c22340" "1.93e-40"
"OG0007447" "Lodge" "Pinsyl_asmbl_74732.p1.p1" "Asp" "Potra2n13c26093" "4.25e-40"
"OG0004310" "Lodge" "Pinsyl_asmbl_102915.p1.p1" "Asp" "Potra2n15c28656" "8.50e-40"
"OG0001885" "Lodge" "Pinsyl_asmbl_140634.p1.p1" "Asp" "Potra2n1c845" "1.33e-39"
"OG0005866" "Lodge" "Pinsyl_asmbl_41011.p1.p1" "Asp" "Potra2n1c923" "1.29e-38"
"OG0004670" "Lodge" "Pinsyl_asmbl_121441.p1.p1" "Asp" "Potra2n18c32637" "1.76e-38"
"OG0007184" "Lodge" "Pinsyl_asmbl_104130.p1.p1" "Asp" "Potra2n14c27531" "3.14e-38"
"OG0005497" "Lodge" "Pinsyl_asmbl_120418.p1.p1" "Asp" "Potra2n9c19051" "7.21e-38"
"OG0000743" "Lodge" "Pinsyl_asmbl_121061.p1.p1" "Asp" "Potra2n10c22267" "1.12e-37"
"OG0006931" "Lodge" "Pinsyl_asmbl_44465.p1.p1" "Asp" "Potra2n18c32638" "3.41e-37"
"OG0002790" "Lodge" "Pinsyl_asmbl_66106.p1.p1" "Asp" "Potra2n17c31041" "3.62e-37"
"OG0003491" "Lodge" "Pinsyl_asmbl_53545.p1.p1" "Asp" "Potra2n10c21900" "6.59e-37"
"OG0002070" "Lodge" "Pinsyl_asmbl_87220.p1.p1" "Asp" "Potra2n16c30025" "7.09e-37"
"OG0002577" "Lodge" "Pinsyl_asmbl_20629.p1.p1" "Asp" "Potra2n11c22494" "2.25e-36"
"OG0007734" "Lodge" "Pinsyl_asmbl_53219.p1.p1" "Asp" "Potra2n125s34618" "2.81e-36"
