"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "Species1pVal" "Species2pval" "MaxpVal"
"OG0017429" "Lodge" "Pinsyl_asmbl_68426.p1.p1" "Nor" "PICAB_chr09_M00002515605" "3.14e-139" "5.92e-137" "5.92e-137"
"OG0011756" "Lodge" "Pinsyl_asmbl_98014.p1.p1" "Nor" "PICAB_chr07_M00001877281" "4.84e-133" "7.93e-134" "4.84e-133"
"OG0015430" "Lodge" "Pinsyl_asmbl_69802.p1.p1" "Nor" "PICAB_chr06_M00001545702" "1.31e-129" "8.93e-132" "1.31e-129"
"OG0017462" "Lodge" "Pinsyl_asmbl_26301.p1.p1" "Nor" "PICAB_chr10_M00002684953" "9.15e-130" "4.72e-129" "4.72e-129"
"OG0011846" "Lodge" "Pinsyl_asmbl_51027.p1.p1" "Nor" "PICAB_chr01_M00000188324" "4.29e-135" "1.15e-128" "1.15e-128"
"OG0012747" "Lodge" "Pinsyl_asmbl_5314.p1.p1" "Nor" "PICAB_chr10_M00002929617" "1.19e-128" "1.51e-126" "1.51e-126"
"OG0025377" "Lodge" "Pinsyl_asmbl_90538.p1.p1" "Nor" "PICAB_chr08_M00002139483" "2.47e-126" "1.28e-126" "2.47e-126"
"OG0020064" "Lodge" "Pinsyl_asmbl_41957.p1.p1" "Nor" "PICAB_chr06_M00001693927" "4.90e-126" "1.60e-130" "4.90e-126"
"OG0017259" "Lodge" "Pinsyl_asmbl_71066.p1.p1" "Nor" "PICAB_chr05_M00001413619" "3.93e-125" "3.86e-128" "3.93e-125"
"OG0006976" "Lodge" "Pinsyl_asmbl_101629.p1.p1" "Nor" "PICAB_chr11_M00003046694" "3.81e-124" "1.34e-127" "3.81e-124"
"OG0019672" "Lodge" "Pinsyl_asmbl_54525.p1.p1" "Nor" "PICAB_chr03_M00000659226" "1.12e-118" "1.78e-120" "1.12e-118"
"OG0019900" "Lodge" "Pinsyl_asmbl_134726.p1.p1" "Nor" "PICAB_chr05_M00001263056" "1.39e-118" "6.60e-119" "1.39e-118"
"OG0017178" "Lodge" "Pinsyl_asmbl_92822.p1.p1" "Nor" "PICAB_chr04_M00000986773" "3.40e-121" "5.05e-118" "5.05e-118"
"OG0020268" "Lodge" "Pinsyl_asmbl_90550.p1.p1" "Nor" "PICAB_chr08_M00002139933" "1.69e-117" "2.98e-119" "1.69e-117"
"OG0012721" "Lodge" "Pinsyl_asmbl_21723.p1.p1" "Nor" "PICAB_chr02_M00000598914" "2.70e-116" "5.07e-120" "2.70e-116"
"OG0012674" "Lodge" "Pinsyl_asmbl_136774.p2.p1" "Nor" "PICAB_chr09_M00002499187" "1.63e-116" "9.03e-115" "9.03e-115"
"OG0005384" "Lodge" "Pinsyl_asmbl_108594.p1.p1" "Nor" "PICAB_chr09_M00002476663" "7.82e-114" "4.18e-117" "7.82e-114"
"OG0019315" "Lodge" "Pinsyl_asmbl_38399.p1.p1" "Nor" "PICAB_chr09_M00002436586" "3.85e-111" "2.72e-115" "3.85e-111"
"OG0016810" "Lodge" "Pinsyl_asmbl_69423.p1.p1" "Nor" "PICAB_chr03_M00000705081" "1.83e-110" "1.34e-113" "1.83e-110"
"OG0011897" "Lodge" "Pinsyl_asmbl_82324.p1.p1" "Nor" "PICAB_chr07_M00001841293" "1.52e-112" "1.30e-109" "1.30e-109"
"OG0017064" "Lodge" "Pinsyl_asmbl_108261.p1.p1" "Nor" "PICAB_chr02_M00000393151" "2.77e-108" "1.13e-115" "2.77e-108"
"OG0012675" "Lodge" "Pinsyl_asmbl_42383.p1.p1" "Nor" "PICAB_chr10_M00002699897" "3.15e-108" "3.68e-112" "3.15e-108"
"OG0020678" "Lodge" "Pinsyl_asmbl_73789.p1.p1" "Nor" "PICAB_chr12_M00003288166" "9.85e-110" "4.67e-108" "4.67e-108"
"OG0000297" "Lodge" "Pinsyl_asmbl_111397.p1.p1" "Nor" "PICAB_cUL01_M00003516405" "2.21e-103" "3.14e-103" "3.14e-103"
"OG0013774" "Lodge" "Pinsyl_asmbl_108991.p1.p1" "Nor" "PICAB_chr01_M00000155914" "4.10e-102" "1.61e-105" "4.10e-102"
"OG0017315" "Lodge" "Pinsyl_asmbl_36557.p1.p1" "Nor" "PICAB_chr07_M00001810145" "6.49e-106" " 3.39e-99" " 3.39e-99"
"OG0015134" "Lodge" "Pinsyl_asmbl_102748.p1.p1" "Nor" "PICAB_chr04_M00000973705" " 2.94e-97" " 1.73e-98" " 2.94e-97"
"OG0020602" "Lodge" "Pinsyl_asmbl_12457.p1.p1" "Nor" "PICAB_chr11_M00003064612" " 4.15e-97" "5.77e-100" " 4.15e-97"
"OG0006657" "Lodge" "Pinsyl_asmbl_38816.p1.p1" "Nor" "PICAB_chr07_M00001848009" "5.38e-101" " 2.45e-95" " 2.45e-95"
"OG0011768" "Lodge" "Pinsyl_asmbl_109030.p1.p1" "Nor" "PICAB_chr01_M00000156251" " 1.26e-94" "9.31e-100" " 1.26e-94"
"OG0011365" "Lodge" "Pinsyl_asmbl_8045.p1.p1" "Nor" "PICAB_chr07_M00001956878" " 3.68e-92" " 1.52e-99" " 3.68e-92"
"OG0017167" "Lodge" "Pinsyl_asmbl_25870.p1.p1" "Nor" "PICAB_chr04_M00000934322" " 1.25e-95" " 3.01e-90" " 3.01e-90"
"OG0009167" "Lodge" "Pinsyl_asmbl_82612.p1.p1" "Nor" "PICAB_chr11_M00002973575" " 3.31e-89" " 1.33e-93" " 3.31e-89"
"OG0020061" "Lodge" "Pinsyl_asmbl_115933.p1.p1" "Nor" "PICAB_chr06_M00001687405" " 6.27e-89" " 3.92e-92" " 6.27e-89"
"OG0020606" "Lodge" "Pinsyl_asmbl_59604.p1.p1" "Nor" "PICAB_chr11_M00003070883" " 9.30e-87" " 5.36e-95" " 9.30e-87"
"OG0002508" "Lodge" "Pinsyl_asmbl_21622.p1.p1" "Nor" "PICAB_chr01_M00000054930" " 3.81e-86" " 3.81e-89" " 3.81e-86"
"OG0019922" "Lodge" "Pinsyl_asmbl_123263.p1.p1" "Nor" "PICAB_chr05_M00001305449" " 7.01e-85" " 3.16e-87" " 7.01e-85"
"OG0015220" "Lodge" "Pinsyl_asmbl_16715.p1.p1" "Nor" "PICAB_cUL01_M00003517519" " 1.41e-90" " 7.91e-85" " 7.91e-85"
"OG0010844" "Lodge" "Pinsyl_asmbl_125762.p1.p1" "Nor" "PICAB_chr05_M00001311149" " 8.39e-84" " 6.84e-93" " 8.39e-84"
"OG0020517" "Lodge" "Pinsyl_asmbl_106048.p1.p1" "Nor" "PICAB_chr10_M00002810441" " 1.18e-88" " 4.51e-83" " 4.51e-83"
"OG0025548" "Lodge" "Pinsyl_asmbl_122968.p1.p1" "Nor" "PICAB_chr10_M00002777330" " 1.75e-90" " 7.61e-83" " 7.61e-83"
"OG0007256" "Lodge" "Pinsyl_asmbl_128116.p1.p1" "Nor" "PICAB_chr10_M00002822851" " 1.09e-81" " 5.97e-88" " 1.09e-81"
"OG0020479" "Lodge" "Pinsyl_asmbl_42398.p1.p1" "Nor" "PICAB_chr10_M00002700184" " 8.42e-89" " 3.34e-81" " 3.34e-81"
"OG0020168" "Lodge" "Pinsyl_asmbl_127044.p1.p1" "Nor" "PICAB_chr07_M00001910878" " 6.40e-85" " 7.94e-80" " 7.94e-80"
"OG0008171" "Lodge" "Pinsyl_asmbl_138423.p1.p1" "Nor" "PICAB_chr07_M00001781497" " 2.00e-83" " 1.45e-79" " 1.45e-79"
"OG0020351" "Lodge" "Pinsyl_asmbl_128405.p1.p1" "Nor" "PICAB_chr09_M00002389136" " 2.30e-83" " 3.03e-79" " 3.03e-79"
"OG0009967" "Lodge" "Pinsyl_asmbl_87926.p1.p1" "Nor" "PICAB_chr09_M00002363703" " 2.84e-83" " 1.48e-77" " 1.48e-77"
"OG0012369" "Lodge" "Pinsyl_asmbl_56687.p1.p1" "Nor" "PICAB_chr09_M00002438915" " 2.32e-77" " 4.35e-81" " 2.32e-77"
"OG0015551" "Lodge" "Pinsyl_asmbl_37221.p1.p1" "Nor" "PICAB_chr11_M00003089668" " 9.10e-77" " 8.15e-83" " 9.10e-77"
"OG0000588" "Lodge" "Pinsyl_asmbl_134492.p1.p1" "Nor" "PICAB_chr03_M00000742194" " 2.99e-77" " 1.29e-75" " 1.29e-75"
"OG0009981" "Lodge" "Pinsyl_asmbl_121532.p1.p1" "Nor" "PICAB_chr03_M00000779375" " 3.51e-81" " 1.74e-75" " 1.74e-75"
"OG0009168" "Lodge" "Pinsyl_asmbl_12984.p1.p1" "Nor" "PICAB_chr06_M00001643466" " 9.22e-75" " 2.04e-81" " 9.22e-75"
"OG0006629" "Lodge" "Pinsyl_asmbl_23417.p1.p1" "Nor" "PICAB_chr06_M00001744251" " 2.39e-74" " 1.26e-77" " 2.39e-74"
"OG0009976" "Lodge" "Pinsyl_asmbl_40549.p1.p1" "Nor" "PICAB_chr07_M00001968751" " 9.53e-78" " 2.83e-74" " 2.83e-74"
"OG0019801" "Lodge" "Pinsyl_asmbl_140414.p1.p1" "Nor" "PICAB_chr04_M00000955230" " 6.16e-74" " 3.52e-79" " 6.16e-74"
"OG0011792" "Lodge" "Pinsyl_asmbl_101045.p1.p1" "Nor" "PICAB_cUL01_M00003567103" " 4.10e-73" " 1.88e-78" " 4.10e-73"
"OG0017564" "Lodge" "Pinsyl_asmbl_71018.p1.p1" "Nor" "PICAB_sUL05_M00000621452" " 4.60e-72" " 3.20e-72" " 4.60e-72"
"OG0014133" "Lodge" "Pinsyl_asmbl_12123.p1.p1" "Nor" "PICAB_chr12_M00003426266" " 8.72e-72" " 5.49e-81" " 8.72e-72"
"OG0011809" "Lodge" "Pinsyl_asmbl_19674.p1.p1" "Nor" "PICAB_chr07_M00001790844" " 7.47e-70" " 4.44e-81" " 7.47e-70"
"OG0006188" "Lodge" "Pinsyl_asmbl_62319.p2.p1" "Nor" "PICAB_chr10_M00002669976" " 1.12e-70" " 2.14e-69" " 2.14e-69"
"OG0020493" "Lodge" "Pinsyl_asmbl_105543.p1.p1" "Nor" "PICAB_chr10_M00002743711" " 4.81e-74" " 2.84e-69" " 2.84e-69"
"OG0006184" "Lodge" "Pinsyl_asmbl_28053.p1.p1" "Nor" "PICAB_chr04_M00000951258" " 1.00e-68" " 8.36e-74" " 1.00e-68"
"OG0020104" "Lodge" "Pinsyl_asmbl_125379.p1.p1" "Nor" "PICAB_chr07_M00001801313" " 3.39e-70" " 1.13e-68" " 1.13e-68"
"OG0016945" "Lodge" "Pinsyl_asmbl_66051.p1.p1" "Nor" "PICAB_cUL07_M00003538728" " 2.73e-73" " 1.33e-68" " 1.33e-68"
"OG0006918" "Lodge" "Pinsyl_asmbl_59410.p1.p1" "Nor" "PICAB_chr09_M00002540337" " 6.91e-68" " 8.89e-70" " 6.91e-68"
"OG0012424" "Lodge" "Pinsyl_asmbl_24591.p4.p1" "Nor" "PICAB_chr04_M00001202747" " 3.12e-67" " 3.72e-75" " 3.12e-67"
"OG0006661" "Lodge" "Pinsyl_asmbl_93050.p1.p1" "Nor" "PICAB_chr11_M00003108342" " 1.52e-68" " 8.45e-67" " 8.45e-67"
"OG0012545" "Lodge" "Pinsyl_asmbl_137756.p1.p1" "Nor" "PICAB_chr02_M00000363299" " 2.67e-70" " 1.22e-66" " 1.22e-66"
"OG0020512" "Lodge" "Pinsyl_asmbl_117180.p1.p1" "Nor" "PICAB_chr10_M00002803110" " 6.62e-70" " 4.85e-66" " 4.85e-66"
"OG0017495" "Lodge" "Pinsyl_asmbl_123887.p1.p1" "Nor" "PICAB_chr11_M00002982692" " 2.07e-66" " 4.30e-65" " 4.30e-65"
"OG0017301" "Lodge" "Pinsyl_asmbl_36186.p1.p1" "Nor" "PICAB_chr06_M00001709795" " 6.12e-65" " 1.69e-73" " 6.12e-65"
"OG0013704" "Lodge" "Pinsyl_asmbl_44567.p1.p1" "Nor" "PICAB_chr02_M00000379156" " 2.39e-66" " 1.63e-64" " 1.63e-64"
"OG0014056" "Lodge" "Pinsyl_asmbl_19873.p1.p1" "Nor" "PICAB_chr07_M00001787913" " 2.09e-69" " 7.31e-64" " 7.31e-64"
"OG0003362" "Lodge" "Pinsyl_asmbl_31742.p1.p1" "Nor" "PICAB_cUL03_M00003452649" " 4.20e-67" " 7.62e-64" " 7.62e-64"
"OG0019656" "Lodge" "Pinsyl_asmbl_46080.p1.p1" "Nor" "PICAB_chr02_M00000587473" " 1.96e-63" " 1.66e-63" " 1.96e-63"
"OG0019841" "Lodge" "Pinsyl_asmbl_103899.p1.p1" "Nor" "PICAB_chr04_M00001085721" " 1.97e-70" " 2.06e-63" " 2.06e-63"
"OG0008442" "Lodge" "Pinsyl_asmbl_113110.p1.p1" "Nor" "PICAB_chr04_M00001093379" " 2.92e-71" " 4.00e-63" " 4.00e-63"
"OG0010035" "Lodge" "Pinsyl_asmbl_52722.p1.p1" "Nor" "PICAB_chr05_M00001273462" " 1.92e-65" " 9.71e-63" " 9.71e-63"
"OG0017148" "Lodge" "Pinsyl_asmbl_44586.p1.p1" "Nor" "PICAB_chr03_M00000854716" " 2.25e-64" " 1.31e-61" " 1.31e-61"
"OG0017361" "Lodge" "Pinsyl_asmbl_5922.p1.p1" "Nor" "PICAB_chr07_M00002044147" " 3.91e-71" " 5.28e-61" " 5.28e-61"
"OG0017133" "Lodge" "Pinsyl_asmbl_67580.p1.p1" "Nor" "PICAB_chr03_M00000730099" " 1.58e-66" " 1.01e-60" " 1.01e-60"
"OG0001306" "Lodge" "Pinsyl_asmbl_87571.p1.p1" "Nor" "PICAB_chr03_M00000884584" " 2.58e-59" " 3.06e-60" " 2.58e-59"
"OG0010246" "Lodge" "Pinsyl_asmbl_103240.p1.p1" "Nor" "PICAB_chr06_M00001656315" " 1.15e-65" " 3.82e-59" " 3.82e-59"
"OG0024762" "Lodge" "Pinsyl_asmbl_7567.p1.p1" "Nor" "PICAB_chr01_M00000255521" " 9.91e-59" " 2.42e-59" " 9.91e-59"
"OG0016909" "Lodge" "Pinsyl_asmbl_103773.p1.p1" "Nor" "PICAB_chr10_M00002762821" " 3.35e-62" " 1.38e-58" " 1.38e-58"
"OG0017072" "Lodge" "Pinsyl_asmbl_86751.p1.p1" "Nor" "PICAB_chr02_M00000420969" " 2.68e-58" " 1.40e-59" " 2.68e-58"
"OG0017249" "Lodge" "Pinsyl_asmbl_80004.p1.p1" "Nor" "PICAB_chr05_M00001374156" " 4.19e-57" " 1.49e-59" " 4.19e-57"
"OG0011159" "Lodge" "Pinsyl_asmbl_66831.p1.p1" "Nor" "PICAB_chr05_M00001262460" " 3.27e-64" " 5.05e-57" " 5.05e-57"
"OG0007870" "Lodge" "Pinsyl_asmbl_106854.p1.p1" "Nor" "PICAB_chr10_M00002820692" " 2.26e-62" " 8.89e-57" " 8.89e-57"
"OG0017150" "Lodge" "Pinsyl_asmbl_126374.p1.p1" "Nor" "PICAB_chr03_M00000856954" " 2.07e-60" " 3.76e-56" " 3.76e-56"
"OG0019514" "Lodge" "Pinsyl_asmbl_78189.p1.p1" "Nor" "PICAB_chr01_M00000225505" " 7.42e-56" " 6.65e-65" " 7.42e-56"
"OG0007797" "Lodge" "Pinsyl_asmbl_136410.p1.p1" "Nor" "PICAB_chr03_M00000676847" " 5.39e-57" " 1.30e-55" " 1.30e-55"
"OG0017210" "Lodge" "Pinsyl_asmbl_13832.p1.p1" "Nor" "PICAB_chr04_M00001160024" " 1.03e-56" " 3.09e-55" " 3.09e-55"
"OG0025037" "Lodge" "Pinsyl_asmbl_71330.p1.p1" "Nor" "PICAB_chr04_M00001064898" " 4.52e-58" " 8.90e-55" " 8.90e-55"
"OG0004218" "Lodge" "Pinsyl_asmbl_74531.p1.p1" "Nor" "PICAB_chr07_M00001855778" " 8.91e-55" " 4.88e-56" " 8.91e-55"
"OG0011889" "Lodge" "Pinsyl_asmbl_116661.p1.p1" "Nor" "PICAB_chr05_M00001414975" " 1.65e-54" " 1.61e-56" " 1.65e-54"
"OG0019365" "Lodge" "Pinsyl_asmbl_125528.p1.p1" "Nor" "PICAB_cUL07_M00003540948" " 4.50e-61" " 1.69e-54" " 1.69e-54"
"OG0017155" "Lodge" "Pinsyl_asmbl_16236.p1.p1" "Nor" "PICAB_chr03_M00000878500" " 2.34e-60" " 2.25e-54" " 2.25e-54"
"OG0019764" "Lodge" "Pinsyl_asmbl_31660.p1.p1" "Nor" "PICAB_chr03_M00000852082" " 3.63e-54" " 7.28e-56" " 3.63e-54"
"OG0025594" "Lodge" "Pinsyl_asmbl_110461.p1.p1" "Nor" "PICAB_chr11_M00003003082" " 5.61e-61" " 6.65e-53" " 6.65e-53"
"OG0020508" "Lodge" "Pinsyl_asmbl_136050.p1.p1" "Nor" "PICAB_chr10_M00002794439" " 7.36e-53" " 9.59e-57" " 7.36e-53"
"OG0005694" "Lodge" "Pinsyl_asmbl_82830.p1.p1" "Nor" "PICAB_chr03_M00000844225" " 1.14e-52" " 1.99e-60" " 1.14e-52"
"OG0014064" "Lodge" "Pinsyl_asmbl_8073.p1.p1" "Nor" "PICAB_chr07_M00001957764" " 2.25e-52" " 3.88e-61" " 2.25e-52"
"OG0017334" "Lodge" "Pinsyl_asmbl_86677.p1.p1" "Nor" "PICAB_chr07_M00001863028" " 4.67e-53" " 5.22e-52" " 5.22e-52"
"OG0019658" "Lodge" "Pinsyl_asmbl_82369.p1.p1" "Nor" "PICAB_chr02_M00000599679" " 1.58e-55" " 5.59e-52" " 5.59e-52"
"OG0017051" "Lodge" "Pinsyl_asmbl_55275.p1.p1" "Nor" "PICAB_chr01_M00000323290" " 2.26e-51" " 5.24e-59" " 2.26e-51"
"OG0020575" "Lodge" "Pinsyl_asmbl_76717.p1.p1" "Nor" "PICAB_chr11_M00002961447" " 3.34e-51" " 1.32e-52" " 3.34e-51"
"OG0003000" "Lodge" "Pinsyl_asmbl_52506.p1.p1" "Nor" "PICAB_chr07_M00002015746" " 1.07e-50" " 3.66e-52" " 1.07e-50"
"OG0001363" "Lodge" "Pinsyl_asmbl_23421.p1.p1" "Nor" "PICAB_chr06_M00001744639" " 1.37e-58" " 4.09e-50" " 4.09e-50"
"OG0015322" "Lodge" "Pinsyl_asmbl_131761.p1.p1" "Nor" "PICAB_chr02_M00000405311" " 5.26e-55" " 4.21e-50" " 4.21e-50"
"OG0007207" "Lodge" "Pinsyl_asmbl_32666.p1.p1" "Nor" "PICAB_chr05_M00001235346" " 1.33e-49" " 5.77e-53" " 1.33e-49"
"OG0017355" "Lodge" "Pinsyl_asmbl_6568.p2.p1" "Nor" "PICAB_chr07_M00002025383" " 6.10e-57" " 1.43e-49" " 1.43e-49"
"OG0019500" "Lodge" "Pinsyl_asmbl_118772.p1.p1" "Nor" "PICAB_chr01_M00000200046" " 4.73e-54" " 1.55e-49" " 1.55e-49"
"OG0003844" "Lodge" "Pinsyl_asmbl_886.p1.p1" "Nor" "PICAB_chr01_M00000073127" " 1.63e-50" " 2.00e-49" " 2.00e-49"
"OG0011815" "Lodge" "Pinsyl_asmbl_1925.p1.p1" "Nor" "PICAB_chr02_M00000435518" " 2.79e-51" " 4.33e-49" " 4.33e-49"
"OG0025690" "Lodge" "Pinsyl_asmbl_122669.p2.p1" "Nor" "PICAB_chr12_M00003347143" " 7.04e-53" " 1.44e-48" " 1.44e-48"
"OG0019380" "Lodge" "Pinsyl_asmbl_116439.p1.p1" "Nor" "PICAB_cUL08_M00003552640" " 7.53e-55" " 5.35e-48" " 5.35e-48"
"OG0020693" "Lodge" "Pinsyl_asmbl_71888.p1.p1" "Nor" "PICAB_chr12_M00003336284" " 8.67e-51" " 6.75e-48" " 6.75e-48"
"OG0006658" "Lodge" "Pinsyl_asmbl_124317.p1.p1" "Nor" "PICAB_chr03_M00000685435" " 6.79e-48" " 1.03e-50" " 6.79e-48"
"OG0017111" "Lodge" "Pinsyl_asmbl_65881.p1.p1" "Nor" "PICAB_chr03_M00000652693" " 1.26e-47" " 9.08e-52" " 1.26e-47"
