"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "MaxPVal"
"OG0004646" "Lodge" "Pinsyl_asmbl_43966.p1.p1" "Asp" "Potra2n13c26091" "1.74e-53"
"OG0001717" "Lodge" "Pinsyl_asmbl_105417.p1.p1" "Asp" "Potra2n7c16228" "1.01e-50"
"OG0003311" "Lodge" "Pinsyl_asmbl_58026.p1.p1" "Asp" "Potra2n16c29604" "4.20e-48"
"OG0003959" "Lodge" "Pinsyl_asmbl_85931.p1.p1" "Asp" "Potra2n17c31726" "4.72e-48"
"OG0006428" "Lodge" "Pinsyl_asmbl_81421.p1.p1" "Asp" "Potra2n2c4777" "7.33e-48"
"OG0002267" "Lodge" "Pinsyl_asmbl_24617.p1.p1" "Asp" "Potra2n16c30228" "3.28e-47"
"OG0002405" "Lodge" "Pinsyl_asmbl_96456.p1.p1" "Asp" "Potra2n10c21110" "1.58e-46"
"OG0001572" "Lodge" "Pinsyl_asmbl_102761.p1.p1" "Asp" "Potra2n16c30315" "2.00e-44"
"OG0001994" "Lodge" "Pinsyl_asmbl_109903.p1.p1" "Asp" "Potra2n4c9802" "4.70e-44"
"OG0003082" "Lodge" "Pinsyl_asmbl_112770.p1.p1" "Asp" "Potra2n13c25522" "1.44e-43"
"OG0009007" "Lodge" "Pinsyl_asmbl_113552.p1.p1" "Asp" "Potra2n1c2841" "1.32e-42"
"OG0004257" "Lodge" "Pinsyl_asmbl_66678.p1.p1" "Asp" "Potra2n14c27023" "5.65e-42"
"OG0006522" "Lodge" "Pinsyl_asmbl_13932.p1.p1" "Asp" "Potra2n3c7534" "1.71e-41"
"OG0005466" "Lodge" "Pinsyl_asmbl_538.p1.p1" "Asp" "Potra2n7c16023" "7.01e-41"
"OG0002504" "Lodge" "Pinsyl_asmbl_136729.p1.p1" "Asp" "Potra2n10c22340" "1.93e-40"
"OG0007447" "Lodge" "Pinsyl_asmbl_74732.p1.p1" "Asp" "Potra2n13c26093" "4.25e-40"
"OG0004310" "Lodge" "Pinsyl_asmbl_102915.p1.p1" "Asp" "Potra2n15c28656" "8.50e-40"
"OG0001885" "Lodge" "Pinsyl_asmbl_140634.p1.p1" "Asp" "Potra2n1c845" "1.33e-39"
"OG0005866" "Lodge" "Pinsyl_asmbl_41011.p1.p1" "Asp" "Potra2n1c923" "1.29e-38"
"OG0004670" "Lodge" "Pinsyl_asmbl_121441.p1.p1" "Asp" "Potra2n18c32637" "1.76e-38"
"OG0007184" "Lodge" "Pinsyl_asmbl_104130.p1.p1" "Asp" "Potra2n14c27531" "3.14e-38"
"OG0005497" "Lodge" "Pinsyl_asmbl_120418.p1.p1" "Asp" "Potra2n9c19051" "7.21e-38"
"OG0000743" "Lodge" "Pinsyl_asmbl_121061.p1.p1" "Asp" "Potra2n10c22267" "1.12e-37"
"OG0006931" "Lodge" "Pinsyl_asmbl_44465.p1.p1" "Asp" "Potra2n18c32638" "3.41e-37"
"OG0002790" "Lodge" "Pinsyl_asmbl_66106.p1.p1" "Asp" "Potra2n17c31041" "3.62e-37"
"OG0003491" "Lodge" "Pinsyl_asmbl_53545.p1.p1" "Asp" "Potra2n10c21900" "6.59e-37"
"OG0002070" "Lodge" "Pinsyl_asmbl_87220.p1.p1" "Asp" "Potra2n16c30025" "7.09e-37"
"OG0002577" "Lodge" "Pinsyl_asmbl_20629.p1.p1" "Asp" "Potra2n11c22494" "2.25e-36"
"OG0007734" "Lodge" "Pinsyl_asmbl_53219.p1.p1" "Asp" "Potra2n125s34618" "2.81e-36"
"OG0000087" "Lodge" "Pinsyl_asmbl_25174.p1.p1" "Asp" "Potra2n10c20580" "3.13e-36"
"OG0001752" "Lodge" "Pinsyl_asmbl_95364.p1.p1" "Asp" "Potra2n10c20110" "4.27e-36"
"OG0007517" "Lodge" "Pinsyl_asmbl_70695.p1.p1" "Asp" "Potra2n10c21833" "1.05e-35"
"OG0000972" "Lodge" "Pinsyl_asmbl_121218.p1.p1" "Asp" "Potra2n18c33186" "1.22e-35"
"OG0003891" "Lodge" "Pinsyl_asmbl_100649.p1.p1" "Asp" "Potra2n2c6365" "2.71e-35"
"OG0004517" "Lodge" "Pinsyl_asmbl_63711.p1.p1" "Asp" "Potra2n1c2923" "1.21e-34"
"OG0009136" "Lodge" "Pinsyl_asmbl_111503.p1.p1" "Asp" "Potra2n19c33911" "2.08e-34"
"OG0006948" "Lodge" "Pinsyl_asmbl_138261.p1.p1" "Asp" "Potra2n12c24513" "2.75e-34"
"OG0003329" "Lodge" "Pinsyl_asmbl_119090.p1.p1" "Asp" "Potra2n10c20862" "1.06e-33"
"OG0004502" "Lodge" "Pinsyl_asmbl_13270.p1.p1" "Asp" "Potra2n16c29408" "1.58e-33"
"OG0003909" "Lodge" "Pinsyl_asmbl_36280.p1.p1" "Asp" "Potra2n1c567" "1.84e-33"
"OG0003703" "Lodge" "Pinsyl_asmbl_111161.p1.p1" "Asp" "Potra2n7c15407" "2.44e-33"
"OG0008753" "Lodge" "Pinsyl_asmbl_136331.p1.p1" "Asp" "Potra2n14c27322" "3.52e-33"
"OG0000646" "Lodge" "Pinsyl_asmbl_78607.p1.p1" "Asp" "Potra2n10c21409" "6.62e-33"
"OG0003249" "Lodge" "Pinsyl_asmbl_112819.p1.p1" "Asp" "Potra2n12c24505" "8.63e-33"
"OG0004234" "Lodge" "Pinsyl_asmbl_87394.p1.p1" "Asp" "Potra2n10c22133" "1.25e-32"
"OG0002620" "Lodge" "Pinsyl_asmbl_47827.p1.p1" "Asp" "Potra2n4c10104" "1.29e-32"
"OG0003018" "Lodge" "Pinsyl_asmbl_109053.p1.p1" "Asp" "Potra2n1c1115" "5.36e-32"
"OG0003468" "Lodge" "Pinsyl_asmbl_117746.p1.p1" "Asp" "Potra2n16c29781" "5.92e-32"
"OG0004330" "Lodge" "Pinsyl_asmbl_103764.p1.p1" "Asp" "Potra2n2c6115" "9.92e-32"
"OG0003067" "Lodge" "Pinsyl_asmbl_93345.p1.p1" "Asp" "Potra2n18c32450" "2.02e-31"
"OG0006429" "Lodge" "Pinsyl_asmbl_60222.p2.p1" "Asp" "Potra2n14c27244" "2.25e-31"
"OG0009840" "Lodge" "Pinsyl_asmbl_76938.p1.p1" "Asp" "Potra2n18c32242" "4.66e-31"
"OG0003668" "Lodge" "Pinsyl_asmbl_76403.p1.p1" "Asp" "Potra2n2c5897" "5.91e-31"
"OG0001505" "Lodge" "Pinsyl_asmbl_135374.p1.p1" "Asp" "Potra2n10c20208" "7.72e-31"
"OG0008105" "Lodge" "Pinsyl_asmbl_93917.p1.p1" "Asp" "Potra2n12c24445" "4.75e-30"
"OG0006370" "Lodge" "Pinsyl_asmbl_54434.p1.p1" "Asp" "Potra2n14c27402" "5.45e-30"
"OG0002694" "Lodge" "Pinsyl_asmbl_36656.p1.p1" "Asp" "Potra2n12c24669" "6.90e-30"
"OG0005567" "Lodge" "Pinsyl_asmbl_57609.p1.p1" "Asp" "Potra2n5c11796" "1.10e-29"
"OG0009839" "Lodge" "Pinsyl_asmbl_32431.p1.p1" "Asp" "Potra2n14c27931" "2.14e-29"
"OG0001816" "Lodge" "Pinsyl_asmbl_32947.p1.p1" "Asp" "Potra2n19c34069" "1.11e-28"
"OG0001858" "Lodge" "Pinsyl_asmbl_123727.p1.p1" "Asp" "Potra2n2c4123" "1.12e-28"
"OG0009149" "Lodge" "Pinsyl_asmbl_61832.p1.p1" "Asp" "Potra2n4c10145" "1.46e-28"
"OG0002972" "Lodge" "Pinsyl_asmbl_47747.p1.p1" "Asp" "Potra2n1c350" "1.51e-28"
"OG0003088" "Lodge" "Pinsyl_asmbl_43964.p1.p1" "Asp" "Potra2n17c30998" "1.95e-28"
"OG0004041" "Lodge" "Pinsyl_asmbl_15863.p1.p1" "Asp" "Potra2n1c597" "2.30e-28"
"OG0003918" "Lodge" "Pinsyl_asmbl_9681.p1.p1" "Asp" "Potra2n10c22135" "2.39e-28"
"OG0003494" "Lodge" "Pinsyl_asmbl_10529.p1.p1" "Asp" "Potra2n4c10199" "2.46e-28"
"OG0002257" "Lodge" "Pinsyl_asmbl_111400.p1.p1" "Asp" "Potra2n17c31240" "2.46e-28"
"OG0000887" "Lodge" "Pinsyl_asmbl_118003.p1.p1" "Asp" "Potra2n14c26547" "5.01e-28"
"OG0001817" "Lodge" "Pinsyl_asmbl_125214.p1.p1" "Asp" "Potra2n10c22110" "6.14e-28"
"OG0004429" "Lodge" "Pinsyl_asmbl_85483.p2.p1" "Asp" "Potra2n4c10485" "7.63e-28"
"OG0002319" "Lodge" "Pinsyl_asmbl_106018.p1.p1" "Asp" "Potra2n17c30933" "8.03e-28"
"OG0003994" "Lodge" "Pinsyl_asmbl_97148.p1.p1" "Asp" "Potra2n6c13411" "9.02e-28"
"OG0001796" "Lodge" "Pinsyl_asmbl_19817.p1.p1" "Asp" "Potra2n18c32676" "1.70e-27"
"OG0005503" "Lodge" "Pinsyl_asmbl_27092.p1.p1" "Asp" "Potra2n5c12144" "4.19e-27"
"OG0002964" "Lodge" "Pinsyl_asmbl_118982.p1.p1" "Asp" "Potra2n1c2992" "4.33e-27"
"OG0006389" "Lodge" "Pinsyl_asmbl_122778.p1.p1" "Asp" "Potra2n1c248" "4.86e-27"
"OG0005202" "Lodge" "Pinsyl_asmbl_40539.p1.p1" "Asp" "Potra2n12c24233" "5.29e-27"
"OG0009044" "Lodge" "Pinsyl_asmbl_84098.p1.p1" "Asp" "Potra2n19c33701" "6.05e-27"
"OG0003296" "Lodge" "Pinsyl_asmbl_100500.p1.p1" "Asp" "Potra2n4c10133" "7.24e-27"
"OG0002507" "Lodge" "Pinsyl_asmbl_45957.p1.p1" "Asp" "Potra2n10c21981" "8.39e-27"
"OG0004548" "Lodge" "Pinsyl_asmbl_106531.p1.p1" "Asp" "Potra2n5c12117" "1.99e-26"
"OG0005245" "Lodge" "Pinsyl_asmbl_96778.p1.p1" "Asp" "Potra2n12c24774" "2.39e-26"
"OG0007157" "Lodge" "Pinsyl_asmbl_8070.p1.p1" "Asp" "Potra2n1c9" "3.82e-26"
"OG0002985" "Lodge" "Pinsyl_asmbl_8678.p1.p1" "Asp" "Potra2n14c26845" "4.01e-26"
"OG0003166" "Lodge" "Pinsyl_asmbl_101792.p1.p1" "Asp" "Potra2n2c5978" "5.24e-26"
"OG0009336" "Lodge" "Pinsyl_asmbl_3963.p1.p1" "Asp" "Potra2n9c20065" "6.62e-26"
"OG0005734" "Lodge" "Pinsyl_asmbl_329.p1.p1" "Asp" "Potra2n2c6039" "6.85e-26"
"OG0000009" "Lodge" "Pinsyl_asmbl_112346.p1.p1" "Asp" "Potra2n11c23199" "2.06e-25"
"OG0002271" "Lodge" "Pinsyl_asmbl_71048.p1.p1" "Asp" "Potra2n12c24640" "3.90e-25"
"OG0004988" "Lodge" "Pinsyl_asmbl_19850.p1.p1" "Asp" "Potra2n18c32522" "4.93e-25"
"OG0008389" "Lodge" "Pinsyl_asmbl_35786.p1.p1" "Asp" "Potra2n19c34301" "5.18e-25"
"OG0008412" "Lodge" "Pinsyl_asmbl_103563.p1.p1" "Asp" "Potra2n9c19456" "5.45e-25"
"OG0002245" "Lodge" "Pinsyl_asmbl_57170.p1.p1" "Asp" "Potra2n2c6114" "8.36e-25"
"OG0001514" "Lodge" "Pinsyl_asmbl_6553.p1.p1" "Asp" "Potra2n10c20142" "9.74e-25"
"OG0008002" "Lodge" "Pinsyl_asmbl_44860.p1.p1" "Asp" "Potra2n14c27708" "1.16e-24"
"OG0005373" "Lodge" "Pinsyl_asmbl_85511.p1.p1" "Asp" "Potra2n18c32414" "2.34e-24"
"OG0007087" "Lodge" "Pinsyl_asmbl_101762.p1.p1" "Asp" "Potra2n2c6236" "2.75e-24"
"OG0002224" "Lodge" "Pinsyl_asmbl_13141.p1.p1" "Asp" "Potra2n17c31473" "3.41e-24"
"OG0002645" "Lodge" "Pinsyl_asmbl_70257.p1.p1" "Asp" "Potra2n10c21823" "6.17e-24"
"OG0004079" "Lodge" "Pinsyl_asmbl_62021.p1.p1" "Asp" "Potra2n14c27345" "8.11e-24"
"OG0005440" "Lodge" "Pinsyl_asmbl_57342.p1.p1" "Asp" "Potra2n18c32727" "1.09e-23"
"OG0000740" "Lodge" "Pinsyl_asmbl_120759.p1.p1" "Asp" "Potra2n14c26841" "1.76e-23"
"OG0003986" "Lodge" "Pinsyl_asmbl_67113.p1.p1" "Asp" "Potra2n1c404" "2.08e-23"
"OG0002735" "Lodge" "Pinsyl_asmbl_39822.p1.p1" "Asp" "Potra2n16c29809" "3.22e-23"
"OG0002027" "Lodge" "Pinsyl_asmbl_24048.p1.p1" "Asp" "Potra2n1c2371" "3.25e-23"
"OG0007409" "Lodge" "Pinsyl_asmbl_129785.p1.p1" "Asp" "Potra2n18c32639" "5.23e-23"
"OG0001726" "Lodge" "Pinsyl_asmbl_133481.p1.p1" "Asp" "Potra2n10c21910" "8.63e-23"
"OG0003024" "Lodge" "Pinsyl_asmbl_77707.p1.p1" "Asp" "Potra2n2c5389" "8.80e-23"
"OG0007436" "Lodge" "Pinsyl_asmbl_69640.p1.p1" "Asp" "Potra2n14c27056" "1.34e-22"
"OG0000746" "Lodge" "Pinsyl_asmbl_105361.p1.p1" "Asp" "Potra2n10c21167" "1.95e-22"
"OG0007761" "Lodge" "Pinsyl_asmbl_45211.p1.p1" "Asp" "Potra2n7c16571" "2.23e-22"
"OG0000405" "Lodge" "Pinsyl_asmbl_124334.p1.p1" "Asp" "Potra2n10c20771" "2.68e-22"
"OG0003587" "Lodge" "Pinsyl_asmbl_23233.p1.p1" "Asp" "Potra2n6c12852" "3.16e-22"
"OG0000816" "Lodge" "Pinsyl_asmbl_113338.p1.p1" "Asp" "Potra2n10c21628" "3.44e-22"
"OG0000727" "Lodge" "Pinsyl_asmbl_85470.p1.p1" "Asp" "Potra2n10c20156" "5.01e-22"
"OG0009590" "Lodge" "Pinsyl_asmbl_29471.p1.p1" "Asp" "Potra2n2c5954" "6.72e-22"
"OG0006818" "Lodge" "Pinsyl_asmbl_100626.p1.p1" "Asp" "Potra2n17c31825" "1.24e-21"
"OG0006507" "Lodge" "Pinsyl_asmbl_50196.p1.p1" "Asp" "Potra2n3c7578" "1.38e-21"
"OG0001041" "Lodge" "Pinsyl_asmbl_112285.p1.p1" "Asp" "Potra2n17c31434" "1.65e-21"
"OG0002119" "Lodge" "Pinsyl_asmbl_45932.p1.p1" "Asp" "Potra2n13c26047" "2.97e-21"
"OG0002523" "Lodge" "Pinsyl_asmbl_75390.p1.p1" "Asp" "Potra2n12c24137" "3.89e-21"
"OG0007154" "Lodge" "Pinsyl_asmbl_46519.p1.p1" "Asp" "Potra2n18c32286" "8.34e-21"
"OG0002728" "Lodge" "Pinsyl_asmbl_61843.p1.p1" "Asp" "Potra2n7c15935" "1.14e-20"
"OG0007564" "Lodge" "Pinsyl_asmbl_79288.p1.p1" "Asp" "Potra2n16c30072" "1.23e-20"
"OG0006892" "Lodge" "Pinsyl_asmbl_24043.p1.p1" "Asp" "Potra2n16c29859" "2.91e-20"
"OG0000805" "Lodge" "Pinsyl_asmbl_141842.p1.p1" "Asp" "Potra2n14c26391" "3.60e-20"
"OG0003047" "Lodge" "Pinsyl_asmbl_124069.p1.p1" "Asp" "Potra2n11c22835" "3.68e-20"
"OG0009726" "Lodge" "Pinsyl_asmbl_130817.p1.p1" "Asp" "Potra2n10c21413" "4.54e-20"
"OG0004512" "Lodge" "Pinsyl_asmbl_67593.p1.p1" "Asp" "Potra2n17c31924" "5.70e-20"
"OG0003395" "Lodge" "Pinsyl_asmbl_42554.p1.p1" "Asp" "Potra2n4c10116" "6.57e-20"
"OG0001341" "Lodge" "Pinsyl_asmbl_85889.p1.p1" "Asp" "Potra2n13c25988" "7.65e-20"
"OG0001812" "Lodge" "Pinsyl_asmbl_10390.p1.p1" "Asp" "Potra2n13c26180" "1.04e-19"
"OG0004302" "Lodge" "Pinsyl_asmbl_101184.p1.p1" "Asp" "Potra2n6c13845" "1.73e-19"
"OG0000770" "Lodge" "Pinsyl_asmbl_36003.p1.p1" "Asp" "Potra2n2c6184" "1.91e-19"
"OG0004326" "Lodge" "Pinsyl_asmbl_83725.p1.p1" "Asp" "Potra2n17c31235" "2.04e-19"
"OG0005545" "Lodge" "Pinsyl_asmbl_99353.p1.p1" "Asp" "Potra2n10c22290" "2.04e-19"
