"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "MaxPVal"
"OG0000865" "Asp" "Potra2n16c29878" "Birch" "Bpev01.c0121.g0025.m0001" 5.97e-10
"OG0001223" "Asp" "Potra2n2c5438" "Birch" "Bpev01.c0161.g0085.m0001" 1.65e-07
"OG0001233" "Asp" "Potra2n10c20760" "Birch" "Bpev01.c0115.g0119.m0001" 2.19e-05
"OG0001273" "Asp" "Potra2n12c24454" "Birch" "Bpev01.c1120.g0015.m0001" 0.00579
"OG0001326" "Asp" "Potra2n12c24427" "Birch" "Bpev01.c0126.g0058.m0001" 7.24e-08
"OG0001328" "Asp" "Potra2n5c11765" "Birch" "Bpev01.c0023.g0013.m0001" 1.38e-15
"OG0001348" "Asp" "Potra2n10c21716" "Birch" "Bpev01.c0614.g0010.m0001" 6.05e-13
"OG0001361" "Asp" "Potra2n1c1170" "Birch" "Bpev01.c0428.g0032.m0001" 2.02e-06
"OG0001510" "Asp" "Potra2n14c27418" "Birch" "Bpev01.c0597.g0001.m0001" 0.0143
"OG0001777" "Asp" "Potra2n10c20683" "Birch" "Bpev01.c0439.g0046.m0001" 3.52e-06
"OG0001853" "Asp" "Potra2n13c25598" "Birch" "Bpev01.c0422.g0003.m0001" 1.69e-62
"OG0002079" "Asp" "Potra2n10c21715" "Birch" "Bpev01.c0136.g0008.m0001" 0.0314
"OG0002247" "Asp" "Potra2n16c29404" "Birch" "Bpev01.c1441.g0004.m0001" 3.76e-08
"OG0002312" "Asp" "Potra2n13c25193" "Birch" "Bpev01.c1233.g0008.m0001" 2.26e-54
"OG0002322" "Asp" "Potra2n12c24702" "Birch" "Bpev01.c1592.g0006.m0001" 1.41e-25
"OG0002448" "Asp" "Potra2n13c25607" "Birch" "Bpev01.c0451.g0018.m0001" 1.8e-08
"OG0002499" "Asp" "Potra2n5c10578" "Birch" "Bpev01.c0134.g0101.m0001" 0.000285
"OG0002686" "Asp" "Potra2n2c6220" "Birch" "Bpev01.c2000.g0003.m0001" 9.22e-38
"OG0002885" "Asp" "Potra2n10c21778" "Birch" "Bpev01.c1270.g0017.m0001" 6.66e-24
"OG0003061" "Asp" "Potra2n127s34652" "Birch" "Bpev01.c0253.g0008.m0001" 2.58e-06
"OG0003130" "Asp" "Potra2n2c6267" "Birch" "Bpev01.c0214.g0065.m0001" 1.24e-05
"OG0003310" "Asp" "Potra2n1c104" "Birch" "Bpev01.c0253.g0028.m0001" 0.0139
"OG0003464" "Asp" "Potra2n10c20759" "Birch" "Bpev01.c1391.g0001.m0001" 4.66e-30
"OG0003499" "Asp" "Potra2n6c14268" "Birch" "Bpev01.c0082.g0081.m0001" 9.03e-15
"OG0003575" "Asp" "Potra2n11c23281" "Birch" "Bpev01.c1228.g0005.m0001" 0.00604
"OG0003658" "Asp" "Potra2n1c951" "Birch" "Bpev01.c0717.g0009.m0001" 1.02e-07
"OG0003814" "Asp" "Potra2n11c22413" "Birch" "Bpev01.c0425.g0048.m0001" 2.09e-45
"OG0003897" "Asp" "Potra2n1c3112" "Birch" "Bpev01.c0362.g0006.m0001" 0.0351
"OG0004156" "Asp" "Potra2n14c26489" "Birch" "Bpev01.c0398.g0010.m0001" 0.0366
"OG0004173" "Asp" "Potra2n10c21975" "Birch" "Bpev01.c0038.g0146.m0001" 9.03e-08
"OG0004285" "Asp" "Potra2n12c24236" "Birch" "Bpev01.c0135.g0075.m0001" 0.000216
"OG0004305" "Asp" "Potra2n13c24989" "Birch" "Bpev01.c0077.g0011.m0001" 8.99e-10
"OG0004360" "Asp" "Potra2n6c14665" "Birch" "Bpev01.c0219.g0003.m0001" 1.57e-10
"OG0004392" "Asp" "Potra2n14c26818" "Birch" "Bpev01.c0120.g0056.m0001" 0.013
"OG0004420" "Asp" "Potra2n10c21440" "Birch" "Bpev01.c2306.g0001.m0001" 7.98e-44
"OG0004427" "Asp" "Potra2n11c23228" "Birch" "Bpev01.c0950.g0008.m0001" 4.43e-28
"OG0004509" "Asp" "Potra2n10c20764" "Birch" "Bpev01.c0115.g0116.m0001" 5.15e-09
"OG0004608" "Asp" "Potra2n11c22387" "Birch" "Bpev01.c0667.g0010.m0001" 2.31e-06
"OG0004652" "Asp" "Potra2n12c23999" "Birch" "Bpev01.c0163.g0022.m0001" 5.56e-08
"OG0004728" "Asp" "Potra2n11c22602" "Birch" "Bpev01.c1275.g0005.m0001" 0.0322
"OG0004746" "Asp" "Potra2n1c1284" "Birch" "Bpev01.c0284.g0010.m0001" 8.89e-25
"OG0004765" "Asp" "Potra2n11c22702" "Birch" "Bpev01.c0092.g0008.m0001" 1.49e-05
"OG0004787" "Asp" "Potra2n10c21590" "Birch" "Bpev01.c0765.g0008.m0001" 0.0119
"OG0004799" "Asp" "Potra2n4c9895" "Birch" "Bpev01.c1638.g0011.m0001" 0.000329
