"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "MaxPVal"
"OG0007039" "Lodge" "Pinsyl_asmbl_23700.p1.p1" "Asp" "Potra2n6c13828" "1.29e-01"
"OG0004627" "Lodge" "Pinsyl_asmbl_36433.p1.p1" "Asp" "Potra2n3c8011" "3.58e-01"
"OG0002316" "Lodge" "Pinsyl_asmbl_43325.p1.p1" "Asp" "Potra2n3c7326" "4.25e-01"
"OG0004519" "Lodge" "Pinsyl_asmbl_45878.p1.p1" "Asp" "Potra2n8c17563" "6.39e-01"
"OG0011206" "Lodge" "Pinsyl_asmbl_134614.p1.p1" "Asp" "Potra2n2c4090" "6.67e-01"
"OG0006118" "Lodge" "Pinsyl_asmbl_84163.p1.p1" "Asp" "Potra2n2c5771" "7.48e-01"
"OG0003734" "Lodge" "Pinsyl_asmbl_88620.p1.p1" "Asp" "Potra2n15c28658" "7.68e-01"
"OG0009222" "Lodge" "Pinsyl_asmbl_63253.p1.p1" "Asp" "Potra2n6c15070" "7.75e-01"
"OG0006404" "Lodge" "Pinsyl_asmbl_19111.p1.p1" "Asp" "Potra2n17c31292" "7.88e-01"
"OG0010656" "Lodge" "Pinsyl_asmbl_87924.p1.p1" "Asp" "Potra2n1c2509" "8.20e-01"
"OG0012629" "Lodge" "Pinsyl_asmbl_117648.p1.p1" "Asp" "Potra2n1c1168" "8.47e-01"
"OG0004648" "Lodge" "Pinsyl_asmbl_104798.p1.p1" "Asp" "Potra2n10c20274" "9.11e-01"
"OG0004640" "Lodge" "Pinsyl_asmbl_63204.p1.p1" "Asp" "Potra2n8c17269" "9.17e-01"
"OG0009801" "Lodge" "Pinsyl_asmbl_12711.p1.p1" "Asp" "Potra2n3c6474" "9.80e-01"
"OG0007013" "Lodge" "Pinsyl_asmbl_110000.p1.p1" "Asp" "Potra2n5c12267" "9.86e-01"
"OG0005544" "Lodge" "Pinsyl_asmbl_100875.p1.p1" "Asp" "Potra2n1c1581" "1.00e+00"
"OG0011723" "Lodge" "Pinsyl_asmbl_102735.p1.p1" "Asp" "Potra2n9c19197" "1.00e+00"
