"OrthoGroup" "Asp"
"OG0000087" "Potra2n10c20580"
"OG0000087" "Potra2n14c27409"
"OG0000087" "Potra2n16c29986"
"OG0000087" "Potra2n2c4552"
"OG0000087" "Potra2n6c13439"
"OG0000087" "Potra2n8c17090"
"OG0000176" "Potra2n10c21065"
"OG0000176" "Potra2n13c26268"
"OG0000176" "Potra2n13c26274"
"OG0000176" "Potra2n14c27264"
"OG0000176" "Potra2n2c4696"
"OG0000176" "Potra2n6c14232"
"OG0000176" "Potra2n6c14233"
"OG0000176" "Potra2n8c17515"
"OG0000405" "Potra2n10c20771"
"OG0000405" "Potra2n1c1830"
"OG0000405" "Potra2n1c2431"
"OG0000405" "Potra2n1c2431"
"OG0000405" "Potra2n8c17250"
"OG0000405" "Potra2n9c19560"
"OG0000505" "Potra2n10c20318"
"OG0000505" "Potra2n4c10106"
"OG0000505" "Potra2n6c14293"
"OG0000505" "Potra2n6c14293"
"OG0000505" "Potra2n8c16843"
"OG0000505" "Potra2n9c18809"
"OG0000597" "Potra2n12c24349"
"OG0000597" "Potra2n15c28597"
"OG0000597" "Potra2n15c28597"
"OG0000646" "Potra2n10c21409"
"OG0000646" "Potra2n8c17794"
"OG0000727" "Potra2n10c20156"
"OG0000727" "Potra2n14c26486"
"OG0000727" "Potra2n1c2627"
"OG0000727" "Potra2n2c5297"
"OG0000727" "Potra2n611s36149"
"OG0000727" "Potra2n8c16707"
"OG0000740" "Potra2n14c26841"
"OG0000740" "Potra2n2c5096"
"OG0000743" "Potra2n10c22267"
"OG0000743" "Potra2n10c22267"
"OG0000743" "Potra2n8c18621"
"OG0000746" "Potra2n10c21167"
"OG0000746" "Potra2n13c26212"
"OG0000746" "Potra2n8c17597"
"OG0000792" "Potra2n12c23793"
"OG0000792" "Potra2n15c29152"
"OG0000792" "Potra2n3c7180"
"OG0000792" "Potra2n3c7180"
"OG0000805" "Potra2n14c26391"
"OG0000805" "Potra2n197s34858"
"OG0000805" "Potra2n1c1493"
"OG0000805" "Potra2n2c5371"
"OG0000805" "Potra2n5c11497"
"OG0000805" "Potra2n7c16584"
"OG0000816" "Potra2n10c21628"
"OG0000816" "Potra2n11c22916"
"OG0000816" "Potra2n16c30101"
"OG0000816" "Potra2n16c30111"
"OG0000816" "Potra2n1c3382"
"OG0000816" "Potra2n8c17980"
"OG0000877" "Potra2n3c8295"
"OG0000877" "Potra2n4c10334"
"OG0000887" "Potra2n14c26547"
"OG0000887" "Potra2n5c11175"
"OG0000887" "Potra2n5c12319"
"OG0000887" "Potra2n7c15752"
"OG0000899" "Potra2n13c26203"
"OG0000899" "Potra2n15c28501"
"OG0000899" "Potra2n15c28914"
"OG0000899" "Potra2n16c30390"
"OG0000899" "Potra2n6c14425"
"OG0000919" "Potra2n16c29275"
"OG0000919" "Potra2n2c5653"
"OG0000919" "Potra2n2c5653"
"OG0000919" "Potra2n6c15345"
"OG0000931" "Potra2n16c29994"
"OG0000931" "Potra2n1c680"
"OG0000931" "Potra2n3c7160"
"OG0000931" "Potra2n6c13429"
"OG0000931" "Potra2n6c13430"
"OG0000972" "Potra2n18c33186"
"OG0000972" "Potra2n6c12905"
"OG0000989" "Potra2n6c14841"
"OG0000989" "Potra2n6c14841"
"OG0000993" "Potra2n11c22967"
"OG0001067" "Potra2n127s34653"
"OG0001067" "Potra2n1c1979"
"OG0001067" "Potra2n3c6563"
"OG0001067" "Potra2n4c8720"
"OG0001067" "Potra2n689s36486"
"OG0001067" "Potra2n9c19929"
"OG0001123" "Potra2n16c29886"
"OG0001123" "Potra2n1c1885"
"OG0001123" "Potra2n6c13547"
"OG0001123" "Potra2n9c19955"
"OG0001142" "Potra2n10c20099"
"OG0001142" "Potra2n689s36486"
"OG0001142" "Potra2n8c16644"
"OG0001142" "Potra2n8c16647"
"OG0001184" "Potra2n10c21550"
"OG0001184" "Potra2n10c21550"
"OG0001184" "Potra2n8c17903"
"OG0001184" "Potra2n8c17903"
"OG0001184" "Potra2n8c17903"
"OG0001343" "Potra2n14c26820"
"OG0001343" "Potra2n2c5123"
"OG0001383" "Potra2n12c24694"
"OG0001383" "Potra2n1c1441"
"OG0001383" "Potra2n1c1442"
"OG0001383" "Potra2n3c7900"
"OG0001383" "Potra2n81s34478"
"OG0001402" "Potra2n3c7605"
"OG0001492" "Potra2n14c26449"
"OG0001492" "Potra2n18c32338"
"OG0001492" "Potra2n1c2580"
"OG0001492" "Potra2n2c5324"
"OG0001492" "Potra2n6c13752"
"OG0001492" "Potra2n9c19328"
"OG0001505" "Potra2n10c20208"
"OG0001505" "Potra2n16c29843"
"OG0001505" "Potra2n6c13577"
"OG0001505" "Potra2n8c16735"
"OG0001514" "Potra2n10c20142"
"OG0001514" "Potra2n18c32078"
"OG0001514" "Potra2n6c14714"
"OG0001572" "Potra2n16c30315"
"OG0001572" "Potra2n6c14457"
"OG0001620" "Potra2n16c29484"
"OG0001620" "Potra2n16c29485"
"OG0001620" "Potra2n6c15126"
"OG0001620" "Potra2n6c15127"
"OG0001645" "Potra2n16c29414"
"OG0001645" "Potra2n751s36686"
"OG0001645" "Potra2n751s36686"
"OG0001717" "Potra2n7c16228"
"OG0001717" "Potra2n7c16229"
"OG0001718" "Potra2n114s34570"
"OG0001718" "Potra2n12c24741"
"OG0001726" "Potra2n10c21910"
"OG0001726" "Potra2n12c24518"
"OG0001726" "Potra2n15c28342"
"OG0001726" "Potra2n8c18250"
"OG0001752" "Potra2n10c20110"
"OG0001768" "Potra2n12c24764"
"OG0001768" "Potra2n15c28112"
"OG0001768" "Potra2n15c28144"
"OG0001768" "Potra2n4c10223"
"OG0001768" "Potra2n9c18656"
"OG0001796" "Potra2n18c32676"
"OG0001800" "Potra2n11c23348"
"OG0001800" "Potra2n16c30309"
"OG0001800" "Potra2n1c2180"
"OG0001800" "Potra2n4c8758"
"OG0001800" "Potra2n6c14463"
"OG0001800" "Potra2n9c19732"
"OG0001812" "Potra2n13c26180"
"OG0001812" "Potra2n14c27389"
"OG0001812" "Potra2n2c4570"
"OG0001812" "Potra2n5c12634"
"OG0001858" "Potra2n2c4123"
"OG0001885" "Potra2n1c845"
"OG0001885" "Potra2n3c7321"
