"OrthoGroup" "Asp"
"OG0000001" "Potra2n10c20241"
"OG0000001" "Potra2n10c21220"
"OG0000001" "Potra2n10c21688"
"OG0000001" "Potra2n12c24131"
"OG0000001" "Potra2n13c25768"
"OG0000001" "Potra2n15c28334"
"OG0000001" "Potra2n15c29053"
"OG0000001" "Potra2n16c29696"
"OG0000001" "Potra2n16c29697"
"OG0000001" "Potra2n16c29717"
"OG0000001" "Potra2n16c29937"
"OG0000001" "Potra2n18c32686"
"OG0000001" "Potra2n1c3944"
"OG0000001" "Potra2n2c4283"
"OG0000001" "Potra2n2c5021"
"OG0000001" "Potra2n2c6194"
"OG0000001" "Potra2n3c6761"
"OG0000001" "Potra2n3c7010"
"OG0000001" "Potra2n3c7796"
"OG0000001" "Potra2n3c8369"
"OG0000001" "Potra2n4c10237"
"OG0000001" "Potra2n4c10238"
"OG0000001" "Potra2n4c8822"
"OG0000001" "Potra2n4c8948"
"OG0000001" "Potra2n4c8949"
"OG0000001" "Potra2n7c16039"
"OG0000001" "Potra2n7c16041"
"OG0000001" "Potra2n8c17082"
"OG0000001" "Potra2n9c18853"
"OG0000004" "Potra2n11c23206"
"OG0000004" "Potra2n12c24090"
"OG0000004" "Potra2n1c346"
"OG0000004" "Potra2n1c347"
"OG0000004" "Potra2n3c6814"
"OG0000004" "Potra2n4c9606"
"OG0000007" "Potra2n10c20888"
"OG0000007" "Potra2n10c21177"
"OG0000007" "Potra2n10c21439"
"OG0000007" "Potra2n12c24760"
"OG0000007" "Potra2n13c25791"
"OG0000007" "Potra2n13c25793"
"OG0000007" "Potra2n13c26303"
"OG0000007" "Potra2n14c26965"
"OG0000007" "Potra2n14c27143"
"OG0000007" "Potra2n14c27236"
"OG0000007" "Potra2n15c28118"
"OG0000007" "Potra2n15c28838"
"OG0000007" "Potra2n17c30794"
"OG0000007" "Potra2n17c30808"
"OG0000007" "Potra2n18c32828"
"OG0000007" "Potra2n19c33645"
"OG0000007" "Potra2n19c34073"
"OG0000007" "Potra2n1c1020"
"OG0000007" "Potra2n1c1932"
"OG0000007" "Potra2n1c2250"
"OG0000007" "Potra2n1c2305"
"OG0000007" "Potra2n1c300"
"OG0000007" "Potra2n1c47"
"OG0000007" "Potra2n1c47"
"OG0000007" "Potra2n1c48"
"OG0000007" "Potra2n1c829"
"OG0000007" "Potra2n2c4375"
"OG0000007" "Potra2n2c4723"
"OG0000007" "Potra2n2c4833"
"OG0000007" "Potra2n2c4990"
"OG0000007" "Potra2n369s35438"
"OG0000007" "Potra2n3c6499"
"OG0000007" "Potra2n3c6771"
"OG0000007" "Potra2n3c7305"
"OG0000007" "Potra2n3c7477"
"OG0000007" "Potra2n4c9199"
"OG0000007" "Potra2n4c9217"
"OG0000007" "Potra2n4c9673"
"OG0000007" "Potra2n4c9980"
"OG0000007" "Potra2n5c10842"
"OG0000007" "Potra2n5c11817"
"OG0000007" "Potra2n5c11817"
"OG0000007" "Potra2n5c11819"
"OG0000007" "Potra2n5c12813"
"OG0000007" "Potra2n8c17350"
"OG0000007" "Potra2n8c17815"
"OG0000007" "Potra2n8c18173"
"OG0000007" "Potra2n9c18946"
"OG0000007" "Potra2n9c19455"
"OG0000007" "Potra2n9c19651"
"OG0000009" "Potra2n11c23199"
"OG0000009" "Potra2n13c26130"
"OG0000009" "Potra2n16c29730"
"OG0000009" "Potra2n18c32336"
"OG0000009" "Potra2n18c32995"
"OG0000009" "Potra2n1c2300"
"OG0000009" "Potra2n2c4078"
"OG0000009" "Potra2n2c5822"
"OG0000009" "Potra2n2c5823"
"OG0000009" "Potra2n4c8952"
"OG0000009" "Potra2n571s36008"
"OG0000009" "Potra2n5c11119"
"OG0000009" "Potra2n5c12058"
"OG0000009" "Potra2n5c12591"
"OG0000009" "Potra2n6c13086"
"OG0000009" "Potra2n6c13749"
"OG0000009" "Potra2n6c14938"
"OG0000009" "Potra2n7c15965"
"OG0000009" "Potra2n9c19448"
"OG0000010" "Potra2n12c24060"
"OG0000010" "Potra2n12c24628"
"OG0000010" "Potra2n12c24638"
"OG0000010" "Potra2n13c25017"
"OG0000010" "Potra2n16c29960"
"OG0000010" "Potra2n16c30430"
"OG0000010" "Potra2n17c31916"
"OG0000010" "Potra2n18c31977"
"OG0000010" "Potra2n18c32045"
"OG0000010" "Potra2n18c32651"
"OG0000010" "Potra2n1c2792"
"OG0000010" "Potra2n2c4426"
"OG0000010" "Potra2n3c8145"
"OG0000010" "Potra2n4c8948"
"OG0000010" "Potra2n5c12779"
"OG0000010" "Potra2n6c13081"
"OG0000010" "Potra2n6c14403"
"OG0000010" "Potra2n9c19801"
"OG0000011" "Potra2n10c20557"
"OG0000011" "Potra2n11c22535"
"OG0000011" "Potra2n14c27208"
"OG0000011" "Potra2n15c28562"
"OG0000011" "Potra2n15c28818"
"OG0000011" "Potra2n16c29487"
"OG0000011" "Potra2n18c32376"
"OG0000011" "Potra2n1c264"
"OG0000011" "Potra2n1c267"
"OG0000011" "Potra2n1c2952"
"OG0000011" "Potra2n1c3814"
"OG0000011" "Potra2n1c401"
"OG0000011" "Potra2n1c915"
"OG0000011" "Potra2n2c4754"
"OG0000011" "Potra2n2c5644"
"OG0000011" "Potra2n2c5804"
"OG0000011" "Potra2n2c6082"
"OG0000011" "Potra2n2c6181"
"OG0000011" "Potra2n2c6181"
"OG0000011" "Potra2n3c6742"
"OG0000011" "Potra2n3c6746"
"OG0000011" "Potra2n5c10753"
"OG0000011" "Potra2n5c10859"
"OG0000011" "Potra2n5c11135"
"OG0000011" "Potra2n5c11287"
"OG0000011" "Potra2n5c11288"
"OG0000011" "Potra2n5c12772"
"OG0000011" "Potra2n635s36230"
"OG0000011" "Potra2n635s36231"
"OG0000011" "Potra2n6c13795"
"OG0000011" "Potra2n6c14623"
"OG0000011" "Potra2n6c15124"
"OG0000011" "Potra2n6c15124"
"OG0000011" "Potra2n7c16482"
"OG0000011" "Potra2n8c17075"
"OG0000011" "Potra2n8c17964"
"OG0000011" "Potra2n8c18160"
"OG0000013" "Potra2n16c29419"
