"OrthologGroup" "Species1" "GeneSpecies1" "Species2" "GeneSpecies2" "MaxPVal"
"OG0010238" "Lodge" "Pinsyl_asmbl_112336.p1.p1" "Asp" "Potra2n14c27693" "5.13e-02"
"OG0010199" "Lodge" "Pinsyl_asmbl_120678.p1.p1" "Asp" "Potra2n1c1751" "5.90e-02"
"OG0005131" "Lodge" "Pinsyl_asmbl_24377.p1.p1" "Asp" "Potra2n14c27801" "7.55e-02"
"OG0011288" "Lodge" "Pinsyl_asmbl_76726.p1.p1" "Asp" "Potra2n17c31468" "8.54e-02"
"OG0004882" "Lodge" "Pinsyl_asmbl_79429.p1.p1" "Asp" "Potra2n15c28002" "1.17e-01"
"OG0009147" "Lodge" "Pinsyl_asmbl_36037.p1.p1" "Asp" "Potra2n335s35337" "1.34e-01"
"OG0005678" "Lodge" "Pinsyl_asmbl_128739.p1.p1" "Asp" "Potra2n12c24286" "1.66e-01"
"OG0009394" "Lodge" "Pinsyl_asmbl_136578.p1.p1" "Asp" "Potra2n1c2559" "1.77e-01"
"OG0008770" "Lodge" "Pinsyl_asmbl_114128.p1.p1" "Asp" "Potra2n555s35940" "1.79e-01"
"OG0007474" "Lodge" "Pinsyl_asmbl_72679.p1.p1" "Asp" "Potra2n1c3152" "2.01e-01"
"OG0009664" "Lodge" "Pinsyl_asmbl_95308.p1.p1" "Asp" "Potra2n18c33233" "2.06e-01"
"OG0007117" "Lodge" "Pinsyl_asmbl_68279.p1.p1" "Asp" "Potra2n12c24772" "2.15e-01"
"OG0009786" "Lodge" "Pinsyl_asmbl_106202.p1.p1" "Asp" "Potra2n7c15831" "2.21e-01"
"OG0005215" "Lodge" "Pinsyl_asmbl_681.p1.p1" "Asp" "Potra2n16c29955" "2.26e-01"
"OG0011139" "Lodge" "Pinsyl_asmbl_25810.p1.p1" "Asp" "Potra2n10c20895" "2.37e-01"
"OG0007508" "Lodge" "Pinsyl_asmbl_7942.p1.p1" "Asp" "Potra2n2c4727" "2.68e-01"
"OG0009055" "Lodge" "Pinsyl_asmbl_110306.p1.p1" "Asp" "Potra2n12c24413" "2.69e-01"
"OG0007588" "Lodge" "Pinsyl_asmbl_90234.p1.p1" "Asp" "Potra2n1c1783" "2.90e-01"
"OG0007446" "Lodge" "Pinsyl_asmbl_91444.p1.p1" "Asp" "Potra2n19c34174" "2.95e-01"
"OG0010352" "Lodge" "Pinsyl_asmbl_115538.p1.p1" "Asp" "Potra2n17c31137" "3.16e-01"
"OG0005289" "Lodge" "Pinsyl_asmbl_137513.p1.p1" "Asp" "Potra2n14c27848" "3.18e-01"
"OG0008724" "Lodge" "Pinsyl_asmbl_123823.p1.p1" "Asp" "Potra2n14c26837" "3.27e-01"
"OG0008668" "Lodge" "Pinsyl_asmbl_20794.p1.p1" "Asp" "Potra2n10c21004" "3.42e-01"
"OG0002732" "Lodge" "Pinsyl_asmbl_72276.p1.p1" "Asp" "Potra2n14c26986" "3.51e-01"
"OG0010259" "Lodge" "Pinsyl_asmbl_1122.p1.p1" "Asp" "Potra2n18c32350" "3.83e-01"
"OG0011206" "Lodge" "Pinsyl_asmbl_134614.p1.p1" "Asp" "Potra2n2c4090" "3.89e-01"
"OG0005093" "Lodge" "Pinsyl_asmbl_105014.p1.p1" "Asp" "Potra2n1c1629" "4.11e-01"
"OG0005109" "Lodge" "Pinsyl_asmbl_139624.p1.p1" "Asp" "Potra2n4c9710" "4.16e-01"
"OG0003404" "Lodge" "Pinsyl_asmbl_138577.p1.p1" "Asp" "Potra2n3c7924" "4.20e-01"
"OG0010620" "Lodge" "Pinsyl_asmbl_111221.p1.p1" "Asp" "Potra2n7c16551" "4.37e-01"
"OG0003922" "Lodge" "Pinsyl_asmbl_114615.p1.p1" "Asp" "Potra2n16c29520" "4.79e-01"
"OG0008831" "Lodge" "Pinsyl_asmbl_45195.p1.p1" "Asp" "Potra2n3c7828" "5.09e-01"
"OG0012613" "Lodge" "Pinsyl_asmbl_40519.p1.p1" "Asp" "Potra2n3c7487" "5.09e-01"
